model,tp,fp,tn,fn,accuracy,precision,recall,f1,num_erroneous,fail_rate,settings
Qwen1.5-0.5B-Chat_full_ep1_lr0.0001_Rv2_finetuned,0,0,3,1,0.75,0.0,0.0,0.0,908,0.9956140350877193,_temp0.2_top0.2_bal-500-500
Qwen1.5-0.5B_full_ep10_lr0.0001_Rv2_finetuned,74,24,427,329,0.5866510538641686,0.7551020408163265,0.18362282878411912,0.2954091816367266,58,0.06359649122807018,_temp0.2_top0.2_bal-500-500
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr5e-05_Rv2_finetuned,75,9,324,248,0.6082317073170732,0.8928571428571429,0.23219814241486067,0.36855036855036855,256,0.2807017543859649,_temp0.2_top0.2_bal-500-500
