model,tp,fp,tn,fn,accuracy,precision,recall,f1,num_erroneous,fail_rate,settings
Qwen1.5-0.5B-Chat_full_ep1_lr0.0001_Rv2_finetuned,0,0,1,0,1.0,0.0,0.0,0.0,814,0.9938949938949939,_temp0.2_top0.2_bal-1002-1002
Qwen1.5-0.5B_full_ep10_lr0.0001_Rv2_finetuned,1,19,104,6,0.8076923076923077,0.05,0.14285714285714285,0.07407407407407408,56,0.06837606837606838,_temp0.2_top0.2_bal-1002-1002
TinyLlama-1.1B-Chat-v1.0_full_ep5_lr5e-05_Rv2_finetuned,0,13,78,6,0.8041237113402062,0.0,0.0,0.0,240,0.29304029304029305,_temp0.2_top0.2_bal-1002-1002
